2025-05-22 17:03:25 status half-installed libc6-dev:amd64 2.36-9+deb12u10
2025-05-22 17:03:25 status unpacked libc6-dev:amd64 2.36-9+deb12u10
2025-05-22 17:03:25 install libffi-dev:amd64 <none> 3.4.4-1
2025-05-22 17:03:25 status half-installed libffi-dev:amd64 3.4.4-1
2025-05-22 17:03:25 status unpacked libffi-dev:amd64 3.4.4-1
2025-05-22 17:03:25 install libgomp1:amd64 <none> 12.2.0-14+deb12u1
2025-05-22 17:03:25 status half-installed libgomp1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:25 status unpacked libgomp1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:25 install libitm1:amd64 <none> 12.2.0-14+deb12u1
2025-05-22 17:03:25 status half-installed libitm1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:25 status unpacked libitm1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:25 install liblsan0:amd64 <none> 12.2.0-14+deb12u1
2025-05-22 17:03:25 status half-installed liblsan0:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 status unpacked liblsan0:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 install libtsan2:amd64 <none> 12.2.0-14+deb12u1
2025-05-22 17:03:26 status half-installed libtsan2:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 status unpacked libtsan2:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 install libubsan1:amd64 <none> 12.2.0-14+deb12u1
2025-05-22 17:03:26 status half-installed libubsan1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 status unpacked libubsan1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 install libquadmath0:amd64 <none> 12.2.0-14+deb12u1
2025-05-22 17:03:26 status half-installed libquadmath0:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 status unpacked libquadmath0:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 install libgcc-12-dev:amd64 <none> 12.2.0-14+deb12u1
2025-05-22 17:03:26 status half-installed libgcc-12-dev:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 status unpacked libgcc-12-dev:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:26 install libicu72:amd64 <none> 72.1-3
2025-05-22 17:03:26 status half-installed libicu72:amd64 72.1-3
2025-05-22 17:03:27 status unpacked libicu72:amd64 72.1-3
2025-05-22 17:03:27 install libstdc++-12-dev:amd64 <none> 12.2.0-14+deb12u1
2025-05-22 17:03:27 status half-installed libstdc++-12-dev:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:27 status unpacked libstdc++-12-dev:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:27 install libxml2:amd64 <none> 2.9.14+dfsg-1.3~deb12u1
2025-05-22 17:03:27 status half-installed libxml2:amd64 2.9.14+dfsg-1.3~deb12u1
2025-05-22 17:03:27 status unpacked libxml2:amd64 2.9.14+dfsg-1.3~deb12u1
2025-05-22 17:03:27 install libwayland-bin:amd64 <none> 1.21.0-1
2025-05-22 17:03:27 status half-installed libwayland-bin:amd64 1.21.0-1
2025-05-22 17:03:27 status unpacked libwayland-bin:amd64 1.21.0-1
2025-05-22 17:03:27 install libwayland-client0:amd64 <none> 1.21.0-1
2025-05-22 17:03:27 status half-installed libwayland-client0:amd64 1.21.0-1
2025-05-22 17:03:27 status unpacked libwayland-client0:amd64 1.21.0-1
2025-05-22 17:03:27 install libwayland-cursor0:amd64 <none> 1.21.0-1
2025-05-22 17:03:27 status half-installed libwayland-cursor0:amd64 1.21.0-1
2025-05-22 17:03:27 status unpacked libwayland-cursor0:amd64 1.21.0-1
2025-05-22 17:03:27 install libwayland-server0:amd64 <none> 1.21.0-1
2025-05-22 17:03:27 status half-installed libwayland-server0:amd64 1.21.0-1
2025-05-22 17:03:27 status unpacked libwayland-server0:amd64 1.21.0-1
2025-05-22 17:03:27 install libwayland-egl1:amd64 <none> 1.21.0-1
2025-05-22 17:03:27 status half-installed libwayland-egl1:amd64 1.21.0-1
2025-05-22 17:03:27 status unpacked libwayland-egl1:amd64 1.21.0-1
2025-05-22 17:03:27 install libwayland-dev:amd64 <none> 1.21.0-1
2025-05-22 17:03:27 status half-installed libwayland-dev:amd64 1.21.0-1
2025-05-22 17:03:27 status unpacked libwayland-dev:amd64 1.21.0-1
2025-05-22 17:03:27 install manpages-dev:all <none> 6.03-2
2025-05-22 17:03:27 status half-installed manpages-dev:all 6.03-2
2025-05-22 17:03:27 status unpacked manpages-dev:all 6.03-2
2025-05-22 17:03:28 startup packages configure
2025-05-22 17:03:28 configure libexpat1:amd64 2.5.0-1+deb12u1 <none>
2025-05-22 17:03:28 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2025-05-22 17:03:28 status half-configured libexpat1:amd64 2.5.0-1+deb12u1
2025-05-22 17:03:28 status installed libexpat1:amd64 2.5.0-1+deb12u1
2025-05-22 17:03:28 configure libwayland-server0:amd64 1.21.0-1 <none>
2025-05-22 17:03:28 status unpacked libwayland-server0:amd64 1.21.0-1
2025-05-22 17:03:28 status half-configured libwayland-server0:amd64 1.21.0-1
2025-05-22 17:03:28 status installed libwayland-server0:amd64 1.21.0-1
2025-05-22 17:03:28 configure libaom3:amd64 3.6.0-1+deb12u1 <none>
2025-05-22 17:03:28 status unpacked libaom3:amd64 3.6.0-1+deb12u1
2025-05-22 17:03:28 status half-configured libaom3:amd64 3.6.0-1+deb12u1
